Cast date,Tx hash,Log index,Spell address,Token,Symbol,Amount,Movement,Tag,Coverage,From,From name,From prime,To,To name,To prime
2025-07-28,0xdd5bf338720c06dd098216e53a276a8bac00fddd80e94757f4e12c9e09f853ab,60,0x12a79facd8d6bbb1583593ef414897a9ba8f0d26,0x56072c95faa701256059aa122697b133aded9279,SKY,288242.139804639804639805,transfer,plumbing,new,0xbe8e3e3618f7474f8cb1d074a26affef007e98fb,MCD_PAUSE_PROXY,,0xc8d67fcf101d3f89d0e1f3a2857485a84072a63f,REWARDS_DIST_USDS_SKY,
2025-07-28,0xdd5bf338720c06dd098216e53a276a8bac00fddd80e94757f4e12c9e09f853ab,62,0x12a79facd8d6bbb1583593ef414897a9ba8f0d26,0x56072c95faa701256059aa122697b133aded9279,SKY,288242.139804639804639805,transfer,plumbing,new,0xc8d67fcf101d3f89d0e1f3a2857485a84072a63f,REWARDS_DIST_USDS_SKY,,0x0650caf159c5a49f711e8169d4336ecb9b950275,REWARDS_USDS_SKY,
2025-07-28,0xdd5bf338720c06dd098216e53a276a8bac00fddd80e94757f4e12c9e09f853ab,71,0x12a79facd8d6bbb1583593ef414897a9ba8f0d26,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,4000,mint,plumbing,new,0x0000000000000000000000000000000000000000,,,0xbe8e3e3618f7474f8cb1d074a26affef007e98fb,MCD_PAUSE_PROXY,
2025-07-28,0xdd5bf338720c06dd098216e53a276a8bac00fddd80e94757f4e12c9e09f853ab,74,0x12a79facd8d6bbb1583593ef414897a9ba8f0d26,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,4000,transfer,plumbing,new,0xbe8e3e3618f7474f8cb1d074a26affef007e98fb,MCD_PAUSE_PROXY,,0x3225737a9bbb6473cb4a45b7244aca2befdb276a,DAI_USDS,
2025-07-28,0xdd5bf338720c06dd098216e53a276a8bac00fddd80e94757f4e12c9e09f853ab,76,0x12a79facd8d6bbb1583593ef414897a9ba8f0d26,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,4000,burn,plumbing,new,0x3225737a9bbb6473cb4a45b7244aca2befdb276a,DAI_USDS,,0x0000000000000000000000000000000000000000,,
2025-07-28,0xdd5bf338720c06dd098216e53a276a8bac00fddd80e94757f4e12c9e09f853ab,79,0x12a79facd8d6bbb1583593ef414897a9ba8f0d26,0xdc035d45d973e3ec169d2276ddab16f1e407384f,USDS,4000,mint,protocol-outflow,new,0x0000000000000000000000000000000000000000,,,0xb6c09680d822f162449cdfb8248a7d3fc26ec9bf,,
2025-07-28,0xdd5bf338720c06dd098216e53a276a8bac00fddd80e94757f4e12c9e09f853ab,84,0x12a79facd8d6bbb1583593ef414897a9ba8f0d26,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,4000,mint,plumbing,new,0x0000000000000000000000000000000000000000,,,0xbe8e3e3618f7474f8cb1d074a26affef007e98fb,MCD_PAUSE_PROXY,
2025-07-28,0xdd5bf338720c06dd098216e53a276a8bac00fddd80e94757f4e12c9e09f853ab,87,0x12a79facd8d6bbb1583593ef414897a9ba8f0d26,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,4000,transfer,plumbing,new,0xbe8e3e3618f7474f8cb1d074a26affef007e98fb,MCD_PAUSE_PROXY,,0x3225737a9bbb6473cb4a45b7244aca2befdb276a,DAI_USDS,
2025-07-28,0xdd5bf338720c06dd098216e53a276a8bac00fddd80e94757f4e12c9e09f853ab,89,0x12a79facd8d6bbb1583593ef414897a9ba8f0d26,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,4000,burn,plumbing,new,0x3225737a9bbb6473cb4a45b7244aca2befdb276a,DAI_USDS,,0x0000000000000000000000000000000000000000,,
2025-07-28,0xdd5bf338720c06dd098216e53a276a8bac00fddd80e94757f4e12c9e09f853ab,92,0x12a79facd8d6bbb1583593ef414897a9ba8f0d26,0xdc035d45d973e3ec169d2276ddab16f1e407384f,USDS,4000,mint,protocol-outflow,new,0x0000000000000000000000000000000000000000,,,0x167c1a762b08d7e78dbf8f24e5c3f1ab415021d3,,
